class,precision,recall,f1,support
DEFECT,0.28,0.07216494845360824,0.11475409836065574,97
DESIGN,0.8653846153846154,0.15706806282722513,0.2658788774002954,573
DOCUMENTATION,0.017543859649122806,0.6666666666666666,0.03418803418803419,6
IMPLEMENTATION,0.13948497854077252,0.46099290780141844,0.214168039538715,141
TEST,0.7142857142857143,0.5,0.5882352941176471,20
macro_avg,0.40333983357204506,0.3713785171497837,0.24344486872106952,837
weighted_avg,0.6655719761448536,0.21027479091995221,0.24569566541671783,837
accuracy,0.21027479091995221,0.21027479091995221,0.21027479091995221,837
