class,precision,recall,f1,support
DEFECT,0.0,0.0,0.0,97
DESIGN,0.8102564102564103,0.2757417102966841,0.4114583333333333,573
DOCUMENTATION,0.03184713375796178,0.8333333333333334,0.06134969325153374,6
IMPLEMENTATION,0.18201284796573874,0.6028368794326241,0.27960526315789475,141
TEST,0.8125,0.65,0.7222222222222222,20
macro_avg,0.3673232783960222,0.4723823846125283,0.2949271023929968,837
weighted_avg,0.6049961976614576,0.3118279569892473,0.34647850622367604,837
accuracy,0.3118279569892473,0.3118279569892473,0.3118279569892473,837
