class,precision,recall,f1,support
DEFECT,0.41025641025641024,0.16494845360824742,0.23529411764705882,97
DESIGN,0.7557251908396947,0.34554973821989526,0.474251497005988,573
DOCUMENTATION,0.014534883720930232,0.8333333333333334,0.02857142857142857,6
IMPLEMENTATION,0.19736842105263158,0.2127659574468085,0.20477815699658702,141
TEST,0.375,0.75,0.5,20
macro_avg,0.3505769811739333,0.461319496521657,0.2885790400442125,837
weighted_avg,0.607218115671163,0.3154121863799283,0.39858397360112685,837
accuracy,0.3154121863799283,0.3154121863799283,0.3154121863799283,837
