class,precision,recall,f1,support
DEFECT,0.26666666666666666,0.041237113402061855,0.07142857142857142,97
DESIGN,1.0,0.0034904013961605585,0.006956521739130435,573
DOCUMENTATION,0.011627906976744186,0.3333333333333333,0.02247191011235955,6
IMPLEMENTATION,0.1558219178082192,0.6453900709219859,0.25103448275862067,141
TEST,0.1875,0.6,0.2857142857142857,20
macro_avg,0.324323298290326,0.32469018381070835,0.12752115435059355,837
weighted_avg,0.7463050472156344,0.13261648745519714,0.06231736873239971,837
accuracy,0.13261648745519714,0.13261648745519714,0.13261648745519714,837
